production_line,material_type,shift,temp_sensor_1,temp_sensor_2,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption_kw,operator_experience_yr,yield_pct
Line-C,Type-X,야간,228.53,231.37,2.032,60.3,0.086,88.4,196.0,8,86.45
Line-A,Type-Y,주간,198.44,189.56,1.25,55.6,0.339,123.6,248.4,6,89.76
Line-B,Type-X,야간,203.08,210.24,1.484,,0.083,120.3,231.0,4,88.65
Line-C,Type-Y,야간,221.58,222.78,1.125,48.4,0.085,115.4,227.4,7,84.25
Line-B,Type-X,주간,213.69,210.32,1.036,53.3,0.139,132.2,265.3,2,92.83
Line-B,Type-Z,주간,300.0,201.72,1.587,50.1,0.355,124.3,240.6,2,82.57
Line-A,Type-Z,주간,203.41,196.54,1.389,60.6,0.072,141.6,284.8,6,89.69
Line-A,Type-Z,야간,198.6,196.81,1.694,54.5,0.147,119.2,243.0,10,88.85
Line-A,Type-Y,야간,214.62,211.14,4.5,42.2,0.07,95.9,215.0,9,82.27
Line-B,Type-Y,야간,204.99,200.79,1.517,54.2,0.113,108.2,241.6,1,85.59
Line-B,Type-X,야간,207.53,209.91,1.297,50.3,0.376,85.9,166.2,7,89.56
Line-A,Type-Y,주간,199.07,195.85,2.368,45.4,0.315,105.5,219.9,7,89.64
Line-A,Type-Y,야간,290.0,191.17,1.574,33.8,0.23,94.5,205.9,14,82.92
Line-B,Type-Y,주간,202.91,,1.512,43.6,0.359,133.6,264.5,9,89.34
Line-B,Type-Y,야간,210.56,217.16,0.8,53.0,0.518,139.1,290.4,2,89.5
Line-A,Type-X,야간,207.66,,1.328,53.1,0.41,120.0,267.6,12,90.05
Line-A,Type-X,주간,178.01,179.98,1.366,38.9,0.399,137.8,309.4,3,95.4
Line-A,Type-X,야간,208.82,210.78,1.539,45.4,0.164,142.2,286.2,14,93.19
Line-B,Type-X,야간,187.77,194.24,1.077,56.5,0.323,140.1,294.1,7,90.47
Line-B,Type-X,야간,226.49,226.27,1.904,54.9,0.39,106.8,232.1,1,85.91
Line-A,Type-Z,주간,185.11,187.28,1.19,45.6,0.222,99.9,201.5,14,93.42
Line-C,Type-X,주간,208.99,208.76,1.386,58.0,0.235,103.2,216.1,12,89.13
Line-A,Type-Z,야간,188.96,189.17,1.603,50.8,0.081,127.0,255.4,6,88.05
Line-B,Type-Z,야간,201.22,204.68,1.637,51.2,0.536,93.8,197.3,3,84.27
Line-C,Type-Z,야간,205.6,215.96,2.074,48.3,0.61,110.7,244.9,5,81.23
Line-A,Type-Z,주간,198.46,201.45,1.665,44.6,0.479,115.9,248.5,5,89.78
Line-C,Type-X,주간,201.37,206.26,3.5,40.4,0.722,111.1,240.2,11,84.51
Line-A,Type-Z,주간,195.62,193.69,1.399,46.5,0.222,129.1,267.6,7,91.4
Line-B,Type-Z,주간,300.0,237.22,1.328,44.6,0.06,101.2,211.3,3,82.69
Line-B,Type-Z,주간,227.04,217.49,1.273,56.3,0.089,175.7,363.4,3,86.89
Line-A,Type-Y,주간,189.43,182.38,1.758,35.9,0.208,117.5,257.3,12,93.1
Line-B,Type-X,주간,196.21,194.41,1.212,51.4,1.574,107.5,228.5,9,89.6
Line-B,Type-Z,주간,192.62,187.3,1.038,48.4,0.17,110.9,250.5,6,88.92
Line-A,Type-Y,주간,190.68,187.76,1.441,55.4,2.0,110.0,253.7,3,87.21
Line-A,Type-Y,주간,218.62,216.07,1.076,51.1,0.283,110.2,227.8,7,88.24
Line-B,Type-X,야간,201.13,189.06,1.788,56.2,0.374,109.6,232.3,7,87.21
Line-A,Type-Y,야간,198.78,193.28,4.0,20.0,0.222,135.0,309.2,12,87.09
Line-A,Type-Y,주간,197.73,194.81,1.417,54.9,0.228,114.1,225.2,9,92.31
Line-A,Type-Y,주간,213.98,211.23,1.552,42.6,0.693,131.8,276.7,14,89.96
Line-B,Type-Z,주간,191.51,196.04,1.928,44.2,0.158,85.7,177.8,9,85.99
Line-C,Type-X,주간,186.31,182.69,0.95,62.3,0.136,88.7,184.9,1,89.61
Line-C,Type-Z,주간,180.82,173.16,1.411,40.2,0.475,136.0,295.7,9,88.57
Line-C,Type-X,야간,183.37,191.46,1.449,48.3,0.002,150.7,319.1,4,91.1
Line-C,Type-Y,주간,200.6,,1.15,37.5,0.126,119.7,261.7,12,87.44
Line-B,Type-X,주간,191.71,185.02,1.157,44.6,0.088,126.7,262.6,1,94.01
Line-C,Type-Z,주간,205.2,205.55,1.758,56.8,0.152,100.6,216.4,7,86.73
Line-C,Type-X,야간,187.21,180.75,1.184,64.5,0.146,110.7,223.8,9,88.09
