age,income_man,credit_limit_man,balance_man,utilization_pct,num_products,months_active,num_late_3m,total_trans_amt,education_level,marital_status,default
69,362,250,167,66.8,1,52,0,168,대졸,이혼,0
41,253,370,260,70.3,2,113,1,255,대졸,기혼,1
60,409,320,51,15.9,5,8,0,339,고졸,기혼,0
34,356,910,444,48.8,2,27,0,214,대졸,기혼,0
46,337,980,679,69.3,3,111,2,28,고졸,기혼,0
37,357,570,162,28.4,2,78,0,49,대졸,미혼,0
45,317,320,115,35.9,4,115,0,72,대졸,기혼,0
63,353,670,674,100.6,2,6,1,308,고졸,기혼,1
48,408,790,207,26.2,4,115,0,279,대졸,기혼,0
52,346,200,188,94.0,2,104,0,47,대학원졸,기혼,1
65,485,540,259,48.0,1,59,1,103,대학원졸,기혼,0
52,463,330,38,11.5,4,9,2,258,대졸,기혼,0
66,533,720,89,12.4,2,11,1,187,고졸,미혼,0
48,480,570,421,73.9,3,76,0,30,대졸,미혼,0
50,309,440,53,12.0,2,15,0,86,대졸,기혼,0
27,501,1420,994,70.0,3,100,2,186,,이혼,1
38,352,510,214,42.0,1,32,0,76,대졸,미혼,0
31,,250,139,55.6,5,39,1,23,대졸,기혼,0
69,,520,523,100.6,5,54,1,157,대졸,미혼,0
34,485,600,590,98.3,5,76,1,157,대졸,기혼,1
59,382,350,82,23.4,1,4,0,74,대졸,이혼,0
56,,170,32,18.8,1,41,0,334,대졸,미혼,0
60,549,1000,795,79.5,3,52,0,199,대졸,기혼,0
25,460,710,387,54.5,3,112,0,276,대졸,기혼,0
61,301,500,460,92.0,5,63,0,10,대졸,기혼,1
33,270,510,128,25.1,1,78,1,64,대졸,기혼,1
22,338,250,28,11.2,2,93,0,114,고졸,기혼,0
63,280,210,119,56.7,1,104,0,32,,기혼,0
33,490,720,316,43.9,3,98,1,44,대학원졸,기혼,1
38,475,1090,1055,96.8,4,51,0,336,고졸,미혼,1
25,528,730,344,47.1,2,85,0,775,고졸,미혼,0
24,360,240,165,68.8,3,8,1,723,고졸,이혼,0
41,457,490,262,53.5,5,102,2,48,고졸,이혼,1
34,277,310,73,23.5,3,94,0,32,대졸,미혼,0
23,540,940,852,90.6,3,35,0,486,고졸,미혼,0
33,439,780,80,10.3,1,82,0,200,대졸,기혼,0
65,501,1260,1330,105.6,2,100,0,253,고졸,기혼,0
39,321,230,207,90.0,1,58,0,67,대졸,기혼,0
36,351,240,143,59.6,5,22,0,148,고졸,이혼,0
29,406,310,159,51.3,5,63,0,67,대졸,이혼,0
64,119,210,179,85.2,2,67,1,64,대학원졸,이혼,1
65,390,410,128,31.2,3,119,0,725,대학원졸,기혼,0
68,317,870,569,65.4,3,24,0,571,고졸,기혼,0
50,640,1230,593,48.2,2,17,0,12,대학원졸,미혼,0
39,417,230,195,84.8,5,18,1,61,대졸,미혼,0
45,590,360,380,105.6,1,25,0,124,대졸,기혼,1
35,473,960,165,17.2,4,113,1,32,고졸,기혼,1
54,590,1020,284,27.8,3,100,0,17,대졸,미혼,0
34,345,590,154,26.1,4,9,0,23,고졸,기혼,0
27,284,440,419,95.2,5,118,0,171,고졸,미혼,1
53,436,1090,435,39.9,3,30,0,14,대학원졸,기혼,0
59,250,590,431,73.1,2,111,1,592,대학원졸,기혼,0
53,493,870,323,37.1,5,57,1,331,대졸,기혼,0
47,480,500,405,81.0,1,25,1,243,대졸,미혼,1
